Region,Sub Region,Country,Year,theft_count,Theft_private_cars_count,prison_count,burglary_count,cjs_total_prosecuted,cjs_total_convicted,cjs_total_court,cjs_total_contact,homicide_count
Americas,Northern America,Canada,2005,655885,160014,"35,032",261362,411517,284778,439789,623465,664
Americas,Northern America,United States of America,2005,6783447,1235859,"2,200,400",2155448,91578,77339,91632,14097950,16740
Americas,South America,Argentina,2005,303669,52560,"55,423",0,0,32965,0,0,2198
Americas,South America,Bolivia (Plurinational State of),2005,3800,0,"7,310",0,0,1565,64021,0,478
Americas,South America,Chile,2005,155270,12108,"38,849",103087,0,0,0,568077,576
Americas,South America,Colombia,2005,68739,0,"66,829",21749,750149,80234,92753,342167,18111
Americas,South America,Ecuador,2005,5956,6433,"11,971",12094,123621,0,0,23862,2121
Americas,South America,Peru,2005,52435,12560,"33,010",6136,0,0,0,44272,0
Asia,Central Asia,Kazakhstan,2005,63141,0,"52,203",0,57902,38439,60354,73604,0
Asia,Central Asia,Kyrgyzstan,2005,12335,295,"15,758",1070,17210,13385,17137,17036,491
Asia,Central Asia,Tajikistan,2005,3558,53,0,0,0,0,0,7494,157
Asia,Central Asia,Turkmenistan,2005,1662,4,"13,462",0,7371,9683,9693,6203,206
Asia,Eastern Asia,Hong Kong Special Administrative Region of China,2005,35213,1568,0,5492,0,0,0,0,0
Asia,Eastern Asia,Japan,2005,923309,150883,"79,055",244776,181737,91074,856834,386955,643
Asia,Eastern Asia,Mongolia,2005,6683,73,"8,906",0,26937,10153,12319,16369,398
Asia,Eastern Asia,Republic of Korea,2005,188780,0,"47,311",0,1145597,199551,226518,1969826,411
Asia,South-Eastern Asia,Brunei Darussalam,2005,1202,163,492,405,0,0,0,2203,2
Asia,South-Eastern Asia,Malaysia,2005,34317,66927,"35,644",24465,126849,74338,89965,6020,604
Asia,South-Eastern Asia,Philippines,2005,11167,0,0,0,0,5199,0,28017,6434
Asia,South-Eastern Asia,Singapore,2005,21168,1058,"14,453",1465,15042,0,26811,22441,21
Asia,South-Eastern Asia,Thailand,2005,60881,20343,"162,293",0,0,599089,747841,0,4806
Asia,Southern Asia,Bangladesh,2005,12540,1061,"72,268",3252,0,0,0,132460,3592
Asia,Southern Asia,India,2005,273111,85709,"358,368",90108,2489071,675192,13907692,2621547,45095
Asia,Southern Asia,Nepal,2005,513,26,0,40,1400,2753,17281,9269,878
Asia,Western Asia,Armenia,2005,2463,96,"2,873",1728,6247,3835,0,6247,58
Asia,Western Asia,Azerbaijan,2005,2151,124,"17,845",222,13410,13711,15319,17303,192
Asia,Western Asia,Bahrain,2005,9659,3030,513,414,15287,0,0,14903,4
Asia,Western Asia,Cyprus,2005,1201,1610,502,2829,95724,59889,95724,9434,20
Asia,Western Asia,Georgia,2005,16256,283,"9,144",20268,10600,9168,9732,10600,403
Asia,Western Asia,Israel,2005,125290,34795,"16,055",60270,44779,40570,44779,153447,166
Asia,Western Asia,Jordan,2005,7068,3006,"6,378",0,0,0,0,0,67
Asia,Western Asia,Kuwait,2005,9790,7,"3,500",0,0,0,0,0,41
Asia,Western Asia,Qatar,2005,897,187,522,0,0,0,0,4869,6
Asia,Western Asia,State of Palestine,2005,4378,286,"7,873",111,0,1506,1059,6343,86
Asia,Western Asia,Turkey,2005,103753,33344,"55,966",108782,2166950,873347,2166950,604353,3305
Europe,Eastern Europe,Belarus,2005,103196,1420,"41,538",20048,82739,77594,85808,56429,825
Europe,Eastern Europe,Bulgaria,2005,43119,5904,"11,436",22379,64424,30501,37484,69884,199
Europe,Eastern Europe,Czech Republic,2005,154124,23040,"18,937",57956,0,0,0,0,0
Europe,Eastern Europe,Hungary,2005,126253,8961,"15,755",42588,105929,98524,106642,178654,164
Europe,Eastern Europe,Poland,2005,278852,45292,"84,875",221020,660139,530509,1041804,594088,555
Europe,Eastern Europe,Republic of Moldova,2005,11506,105,"8,876",6072,17878,14103,17029,0,296
Europe,Eastern Europe,Romania,2005,43191,1082,"36,700",16764,59407,65682,0,170563,453
Europe,Eastern Europe,Russian Federation,2005,1572996,67546,"823,396",308778,0,878893,1233332,1297123,35636
Europe,Eastern Europe,Slovakia,2005,18894,5591,"8,897",20828,64451,27729,33442,51619,93
Europe,Eastern Europe,Ukraine,2005,186659,6197,"170,923",0,237187,176934,211977,237187,3030
Europe,Northern Europe,Denmark,2005,168120,16341,"4,041",76865,0,81047,97569,0,53
Europe,Northern Europe,Estonia,2005,30452,0,"4,410",0,0,0,0,0,113
Europe,Northern Europe,Finland,2005,125081,16791,"3,867",19531,226136,222065,225474,297069,119
Europe,Northern Europe,Iceland,2005,3181,325,119,2244,2169,0,0,0,3
Europe,Northern Europe,Ireland,2005,58879,14199,"3,022",26381,0,0,0,44791,52
Europe,Northern Europe,Latvia,2005,24287,2223,"7,646",5108,11148,11386,12165,10716,126
Europe,Northern Europe,Lithuania,2005,27618,4541,"8,137",0,17674,13971,23281,23304,372
Europe,Northern Europe,Norway,2005,138580,15350,"3,170",25535,27876,15269,0,36169,33
Europe,Northern Europe,Sweden,2005,444825,56719,"7,377",113604,118949,115402,0,106659,83
Europe,Northern Europe,United Kingdom (England and Wales),2005,1804831,214182,"75,121",645068,1881593,1475252,1881593,1515978,708
Europe,Northern Europe,United Kingdom (Northern Ireland),2005,25851,4124,"1,330",12862,30609,42263,52899,0,31
Europe,Northern Europe,United Kingdom (Scotland),2005,139132,14041,"6,856",31319,66262,57724,66262,0,95
Europe,Southern Europe,Albania,2005,2986,708,"2,592",199,8626,6606,7465,7220,154
Europe,Southern Europe,Bosnia and Herzegovina,2005,18417,2321,0,5006,20058,0,18706,29387,70
Europe,Southern Europe,Croatia,2005,30398,2274,"3,485",21114,79039,22586,31418,31745,68
Europe,Southern Europe,Greece,2005,61652,17552,"9,964",37595,0,0,0,208101,132
Europe,Southern Europe,Italy,2005,1097361,265975,"60,415",0,550990,224205,660310,751715,610
Europe,Southern Europe,Malta,2005,9612,672,294,1618,0,0,14877,0,4
Europe,Southern Europe,Montenegro,2005,1540,121,894,2690,8478,0,0,6396,22
Europe,Southern Europe,Portugal,2005,91818,25733,"12,889",45088,102559,66667,102559,253581,135
Europe,Southern Europe,Serbia,2005,16765,3719,"8,078",16064,53170,39135,51102,53495,147
Europe,Southern Europe,Slovenia,2005,29489,873,"1,132",20252,29348,8216,15433,17929,20
Europe,Western Europe,Austria,2005,177025,11089,"8,956",115526,307111,45691,0,243493,54
Europe,Western Europe,Belgium,2005,217373,26767,"9,375",86408,0,0,0,0,221
Europe,Western Europe,France,2005,835057,260538,"55,302",355343,0,636365,0,1066902,976
Europe,Western Europe,Germany,2005,2234472,96451,"80,201",396125,964754,780659,964754,2313136,869
Europe,Western Europe,Liechtenstein,2005,175,13,130,101,2391,0,125,1095,0
Europe,Western Europe,Monaco,2005,324,149,31,63,696,686,730,977,1
Europe,Western Europe,Netherlands,2005,758045,27425,"17,560",307770,254088,122602,160069,513450,174
Europe,Western Europe,Switzerland,2005,142420,59041,"6,137",61194,0,0,0,61718,75
Oceania,Australia and New Zealand,Australia,2005,518335,80365,0,281994,0,276344,575428,0,259
Oceania,Australia and New Zealand,New Zealand,2005,127697,23952,"7,430",57923,102883,78178,102883,193898,61
Oceania,Melanesia,Solomon Islands,2005,1029,0,295,495,0,0,0,901,26
Africa,Eastern Africa,Kenya,2006,10255,695,0,2069,0,0,423734,75143,1106
Africa,Eastern Africa,Mauritius,2006,13464,1005,"2,238",2352,11515,26236,35214,20990,50
Africa,Eastern Africa,Mozambique,2006,4743,0,"18,013",3968,0,0,0,25081,894
Africa,Eastern Africa,Uganda,2006,69618,1206,"19,225",15445,0,0,0,58738,2696
Africa,Eastern Africa,Zimbabwe,2006,117519,0,"18,081",48452,0,0,0,0,1072
Africa,Middle Africa,Cameroon,2006,13652,428,0,0,0,0,0,0,0
Africa,Middle Africa,Sao Tome and Principe,2006,2,0,160,0,0,0,0,0,4
Africa,Northern Africa,Algeria,2006,55087,2035,"54,117",8990,0,0,1022485,156794,312
Africa,Northern Africa,Egypt,2006,47441,3145,"64,378",529,0,5585058,5923898,107074,549
Africa,Northern Africa,Morocco,2006,73572,8200,"53,580",1984,0,0,471629,306393,498
Americas,Caribbean,Bahamas,2006,1281,1059,"2,416",0,3644,0,0,0,61
Americas,Caribbean,Barbados,2006,1257,115,0,2097,0,0,0,0,35
Americas,Caribbean,Grenada,2006,1937,0,334,1024,3887,0,0,3887,12
Americas,Caribbean,St. Vincent and the Grenadines,2006,1849,30,0,1301,0,0,0,0,0
Americas,Caribbean,Trinidad and Tobago,2006,3064,1496,"3,700",4973,5964,0,0,5964,371
Americas,Central America,Belize,2006,1857,62,"1,338",1511,175,0,0,4414,92
Americas,Central America,Costa Rica,2006,10326,5600,"7,712",15474,129888,3586,7794,9144,351
Americas,Central America,El Salvador,2006,11417,1257,"14,771",0,0,499,27262,0,3927
Americas,Central America,Guatemala,2006,3875,3235,"7,477",1628,0,3494,84526,40697,5885
Americas,Central America,Mexico,2006,85775,146808,"211,308",154655,205715,143927,162989,0,10452
Americas,Central America,Nicaragua,2006,17474,200,"6,029",0,25586,0,0,40660,722
Americas,Central America,Panama,2006,17928,205,"12,189",2738,0,3817,56896,45725,221
Americas,Northern America,Canada,2006,634912,158638,"37,452",251361,411225,282430,438019,635587,608
Americas,Northern America,United States of America,2006,6626363,1198245,"2,256,600",2194993,87699,79725,87699,14382852,17309
Americas,South America,Argentina,2006,292041,52727,"54,000",0,0,32654,0,0,2111
Americas,South America,Bolivia (Plurinational State of),2006,3829,3285,"7,358",0,0,1915,75686,0,482
Americas,South America,Brazil,2006,2058942,210212,"401,236",248470,0,0,0,0,45086
Americas,South America,Chile,2006,153713,13638,"42,532",103490,0,0,0,510809,590
Americas,South America,Colombia,2006,91493,19813,"60,021",36583,867790,0,0,270023,17479
Americas,South America,Ecuador,2006,5968,7096,"12,635",14695,185483,0,0,23567,2385
Americas,South America,Peru,2006,49423,10428,"35,835",5415,0,0,0,48739,0
Americas,South America,Uruguay,2006,101985,0,"6,887",0,0,0,0,0,202
Asia,Central Asia,Kazakhstan,2006,59338,2141,"51,544",34827,42682,32582,52728,76336,0
Asia,Central Asia,Kyrgyzstan,2006,10967,218,"15,127",1050,17117,13480,17418,16387,446
Asia,Central Asia,Tajikistan,2006,3156,38,"10,804",683,0,0,0,8328,194
Asia,Central Asia,Turkmenistan,2006,1431,2,"10,953",0,6478,8911,8911,5341,203
Asia,Eastern Asia,Hong Kong Special Administrative Region of China,2006,37089,1752,0,5315,0,0,0,0,0
Asia,Eastern Asia,Japan,2006,811250,129352,"81,255",205463,180040,86382,793707,384250,619
Asia,Eastern Asia,Mongolia,2006,6657,93,"6,740",4988,26312,7792,10072,16825,336
Asia,Eastern Asia,Republic of Korea,2006,192555,14090,"45,651",84371,1094113,186530,212791,1992777,416
Asia,South-Eastern Asia,Brunei Darussalam,2006,1136,169,522,550,0,0,0,2127,3
Asia,South-Eastern Asia,Malaysia,2006,37128,82287,"42,389",27313,127531,83880,96915,5929,588
Asia,South-Eastern Asia,Philippines,2006,9985,2096,"91,200",0,451,5272,0,24247,6200
Asia,South-Eastern Asia,Singapore,2006,19073,900,"12,761",1123,12363,0,0,19639,17
Asia,South-Eastern Asia,Thailand,2006,63649,23319,"151,586",0,0,639756,800085,0,4687
Asia,Southern Asia,Bangladesh,2006,12989,1061,"66,200",3410,0,0,0,154355,4166
Asia,Southern Asia,India,2006,274354,90951,"373,271",91666,2490168,706080,14130736,2653683,44961
Asia,Southern Asia,Nepal,2006,540,17,"5,580",29,1307,2931,20507,6196,610
Asia,Western Asia,Armenia,2006,3090,131,"3,083",2047,6917,3238,3240,6917,79
Asia,Western Asia,Azerbaijan,2006,2139,117,"18,656",141,12272,14206,15945,18564,190
Asia,Western Asia,Bahrain,2006,8360,2151,522,393,14725,0,0,12304,7
Asia,Western Asia,Cyprus,2006,1607,1780,578,3068,107997,68427,107997,9531,15
Asia,Western Asia,Georgia,2006,27657,181,"15,464",32568,17803,16911,17262,17803,323
